,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,*BW: BODYWEIGHT/ PESO CORPORAL,,,,,,,,,,,,,,
,*DKB: DOBLE KETTLLEBEL,,,,,,,,,,,,,,
,*DDB: DOBLE DUMBBELL (mancuerna),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SEMANA 13-17-21,,,,SEMANA 14-18-22,,,,SEMANA 15-19-23,,,,SEMANA 16-20-24,,,
BLOQUES,DIA 1,SERIES 2-3 X REPS ,PESO EJECUTADO,BLOQUES,DIA 1,SERIES 2-3 X REPS,PESO EJECUTADO,BLOQUES,DIA 1,SERIES 2-3 X REPS ,PESO EJECUTADO,BLOQUES,DIA 1,SERIES 2-3 X REPS,PESO EJECUTADO
MOVILIDAD,1. CAT CAMEL,X10,,MOVILIDAD,1. ROTACIONES TORACICAS,X5/5,,MOVILIDAD,1. CAT CAMEL,10 TOTAL,,MOVILIDAD,1. CAT CAMEL,10 TOTAL,
,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,X1' POR LADO,,,2. ADELANTE/ATRÁS CON BANDA,X10,,,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,1' X LADO,,,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,1'XLADO,
,3. ROTACION TORACICA,X3 POR LADO,,,3. ROTACION DE HOMBRO,X5/5,,,3. ROTACION TORACICA,3 X LADO,,,3. ROTACION TORACICA,3XLADO,
,4. RANITAS,X20,,,4. RANITAS,X20,,,4. RANITAS,X20,,,4. RANITAS,X20,
CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X5,,CORE,1. REVERSE CRUNCH,X16,,CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X5,,CORE,1. SUELO PELVICO + ACTIVACION DE ADUCTORES,X8,
,2. PLANCHA LATERAL *FILMAR,X10'' POR LADO,,,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X5,,,2. DEAD BUG MARCH ,X12,,,2. PRESS PALLOF CON BANDA,X10,
ESTRUCTURA,A1. SENTADILLA BACK *libre o en guía,X10-12,,ESTRUCTURA,A1. SENTADILLA GOBLET A CAJÓN,X10,,ESTRUCTURA,A1. SENTADILLA SUMO CON BARRA,X8,,ESTRUCTURA,A1. SENTADILLA GOBLET A CAJÓN,X12,
